filename,xRot
009999.png,185.566906755149
010000.png,178.97783146470042
010001.png,257.2772757905939
010002.png,111.84602902111858
010003.png,169.8143843875422
010004.png,166.64682097661367
010005.png,263.10361103999736
010006.png,76.78418370983063
010007.png,142.013381559513
010008.png,97.52473433753515
010009.png,259.1447343806618
010010.png,94.13361366580332
010011.png,121.01990103787692
010012.png,246.9361526247024
010013.png,181.3305104265456
010014.png,267.69414964238564
010015.png,181.7427608980803
010016.png,262.99956342133146
010017.png,265.5396434171993
010018.png,226.55307125833247
010019.png,255.7288552290337
010020.png,138.57019431768845
010021.png,264.6452005701872
010022.png,71.60064958139519
010023.png,275.1020878029166
010024.png,122.06090104384309
010025.png,99.17958643011741
010026.png,118.95372250705275
010027.png,242.0934912377229
010028.png,84.90106319647566
010029.png,138.1222860494789
010030.png,184.46418125841276
010031.png,135.84588493352524
010032.png,253.39180866556214
010033.png,224.3406081683976
010034.png,49.59889172519299
010035.png,246.3130855943598
010036.png,273.72608931486536
010037.png,195.44647061434867
010038.png,111.98378280865882
010039.png,280.62345331377065
010040.png,267.1917053702077
010041.png,154.21292475987988
010042.png,259.78868469704815
010043.png,284.49384727098993
010044.png,200.90003092297388
010045.png,281.5791135334623
010046.png,260.3439919584692
010047.png,71.93478215809529
010048.png,260.27802279636217
010049.png,59.95373040477487
010050.png,110.20889057326349
010051.png,278.70805991202104
010052.png,98.51133196690716
010053.png,72.08480828368427
010054.png,247.29574923383464
010055.png,166.84454138461075
010056.png,99.83981256068427
010057.png,182.69627773468935
010058.png,302.5907566878029
010059.png,256.7811708010492
010060.png,156.3991113629473
010061.png,257.9434349765763
010062.png,255.95915933596163
010063.png,228.32874922268826
010064.png,188.09186848396553
010065.png,71.59973022506053
010066.png,247.49484333123874
010067.png,263.3152447301987
010068.png,71.4769961543831
010069.png,294.205339629917
010070.png,198.11983990718386
010071.png,55.06074494866257
010072.png,247.81102707903304
010073.png,177.7773077675223
010074.png,220.48514306142664
010075.png,278.0083869805832
010076.png,84.21945668603293
010077.png,277.8519360508416
010078.png,100.08208433524769
010079.png,129.85656170323304
010080.png,134.281284769494
010081.png,232.9501557485223
010082.png,68.99527925048145
010083.png,182.10841416794926
010084.png,219.64369683103192
010085.png,182.17702514324466
010086.png,180.27425284699052
010087.png,111.79910443238602
010088.png,79.54662500150245
010089.png,150.2780983553572
010090.png,294.9385797577599
010091.png,292.5498461259384
010092.png,293.3493226706368
010093.png,84.20286551124926
010094.png,260.4748078127397
010095.png,186.47144281180462
010096.png,98.62439141569077
010097.png,180.51643910003443
010098.png,259.56109055326954
010099.png,62.98418544838066
010100.png,176.62724778008305
010101.png,181.55673422160157
010102.png,81.20107086686707
010103.png,84.23135486743385
010104.png,30.132098608973294
010105.png,273.14586856579405
010106.png,315.66249644992104
010107.png,68.23516398513453
010108.png,177.64396368333146
010109.png,260.94493029564023
010110.png,168.8341754829318
010111.png,246.43487358322773
010112.png,256.89033902069536
010113.png,211.57313793738797
010114.png,212.39195838077907
010115.png,247.81423948110938
010116.png,82.49389967720117
010117.png,243.32608082775675
010118.png,311.1444480255019
010119.png,271.98728716070053
010120.png,115.1415419791405
010121.png,181.51471108495554
010122.png,96.40786605357947
010123.png,182.1336049324011
010124.png,105.5427937083939
010125.png,205.6378108564723
010126.png,177.89108078648425
010127.png,107.92723522895531
010128.png,299.61571958883536
010129.png,76.86983351161336
010130.png,125.89687793455717
010131.png,329.7237308828843
010132.png,123.80988025882885
010133.png,275.10003528644853
010134.png,131.59433759916385
010135.png,139.03394544738597
010136.png,249.57161584029143
010137.png,70.17408649493754
010138.png,261.3843933137988
010139.png,178.4984813434728
010140.png,161.12195175600746
010141.png,185.06364535157772
010142.png,255.23972024332855
010143.png,142.09727282505094
010144.png,288.3801589210268
010145.png,270.97618761599074
010146.png,291.94177743207877
010147.png,181.4055214849295
010148.png,262.71527920031195
010149.png,83.15917157741873
010150.png,264.0866060753603
010151.png,96.19436158013903
010152.png,179.33727640676292
010153.png,55.20202649888231
010154.png,307.09770869506644
010155.png,244.88901866725263
010156.png,69.6785534305545
010157.png,268.53216966690525
010158.png,93.98117155728836
010159.png,95.9806326127099
010160.png,96.52785274544284
010161.png,114.15725343079508
010162.png,108.03112783986714
010163.png,94.99286975263465
010164.png,263.9426466325611
010165.png,247.82041306579856
010166.png,125.96755078023686
010167.png,74.70619251912504
010168.png,124.86302966565948
010169.png,90.36509721869257
010170.png,118.70126832657344
010171.png,293.09334607257296
010172.png,105.83468399955424
010173.png,177.78664564843308
010174.png,124.81264145538702
010175.png,175.83605880513403
010176.png,183.13606413109355
010177.png,294.70261519525985
010178.png,181.8420914704361
010179.png,174.54844413494217
010180.png,70.86353960479471
010181.png,140.7712937357193
010182.png,221.34384058583373
010183.png,76.5751049750245
010184.png,71.9327830925769
010185.png,172.51089927786674
010186.png,160.62920081355577
010187.png,142.97983887104192
010188.png,112.83105519256972
010189.png,279.55448777092687
010190.png,306.0469057849272
010191.png,154.88340278259722
010192.png,132.9907971107563
010193.png,162.53994665522987
010194.png,182.06411335270957
010195.png,133.58292673141852
010196.png,184.8652828640475
010197.png,175.68369820931736
010198.png,258.40901412875326
010199.png,133.1835358902423
010200.png,180.61016199963092
010201.png,95.64329297902843
010202.png,56.85857833166471
010203.png,281.0112292635793
010204.png,84.92036967950357
010205.png,175.7999379896075
010206.png,185.09210898449277
010207.png,279.45361513867255
010208.png,272.48860361784
010209.png,180.7049819799698
010210.png,96.22697734963967
010211.png,184.2323978964522
010212.png,184.48455742857135
010213.png,262.4097482267908
010214.png,181.6340510203277
010215.png,184.16263839387534
010216.png,94.7886871248201
010217.png,239.00289853062128
010218.png,154.1885137111566
010219.png,262.6927763504926
010220.png,247.1322481238289
010221.png,191.71173449930492
010222.png,115.9592239173032
010223.png,80.45515217375772
010224.png,179.64698858082355
010225.png,243.24061275920295
010226.png,256.9979731980855
010227.png,260.30700924637887
010228.png,95.75356228823823
010229.png,182.7567187323247
010230.png,140.97596276717601
010231.png,104.47361970684632
010232.png,182.712402549937
010233.png,283.0021060964807
010234.png,147.7477437597854
010235.png,114.19053199207187
010236.png,298.9752809998436
010237.png,174.58263403491117
010238.png,163.20416824428602
010239.png,155.3939769442229
010240.png,232.60845451734613
010241.png,192.57564950453857
010242.png,45.66207961788933
010243.png,126.7490196999848
010244.png,298.32998906462007
010245.png,182.99118199127534
010246.png,189.71712344943086
010247.png,185.5529841190286
010248.png,181.6161997394051
010249.png,270.8106393346119
010250.png,242.64300976129252
